t(),X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56
2005-03-17,0.825174,-0.501524,-0.209282,,0.815346,0.072021,1.524328,3.211462,0.842188,,,2.246559,-0.549921,,,-0.952464,3.178889,,0.46915,,-2.686257,,,,-1.06664,,,,2.245943,,,,,-3.93734,,,2.37518,-0.230438,0.884358,-0.356229,,,,-1.643128,,-0.782642,-2.602047,-1.879055,-1.192753,3.92345,,0.002038,0.727596,-1.359261,,1.763135
2005-03-18,2.522629,1.088033,-0.463988,,2.527162,-2.811166,2.872221,2.392026,-1.367325,,,2.020843,0.732005,,,0.94307,3.12918,,-0.91514,,-0.281304,,,,-3.032903,,,,2.235108,,,,,-5.943721,,,2.008491,0.320297,0.880102,2.383566,,,,-3.56477,,-1.964251,-4.953716,-0.618424,-0.885293,5.473982,,-0.188413,-0.410751,-3.306751,,-1.506017
2005-03-21,2.072586,-1.190241,-3.112959,,4.137368,-3.990736,3.500211,3.020232,-1.857019,,,1.442365,0.683249,,,-0.341779,0.477921,,-1.87632,,0.886871,,,,-0.965565,,,,3.586738,,,,,-3.189421,,,-2.175376,1.544033,0.9646,2.69794,,,,-5.255956,,-3.593999,-6.422519,1.031678,-2.826308,2.900232,,1.319026,-1.096289,-2.325149,,-2.220413
2005-03-22,3.371193,-0.224257,-2.406132,,6.728773,-5.242525,0.753775,2.967077,-1.500966,,,0.238475,-2.211726,,,2.231409,1.436423,,0.446919,,1.069028,,,,-0.058865,,,,5.158629,,,,,-3.73073,,,-0.453275,3.632705,0.59742,2.217525,,,,-2.885065,,-0.249936,-8.685875,2.22692,-1.334274,1.994569,,0.392394,-4.36731,0.314489,,-3.533525
2005-03-23,5.17764,0.347048,2.102652,,11.486739,-0.015358,-1.574108,1.289219,-2.273084,,,-0.222915,-0.664454,,,3.149055,2.13821,,-1.58677,,2.096639,,,,-0.414345,,,,2.387029,,,,,-1.567613,,,0.704587,1.973502,1.472441,2.851168,,,,-2.029435,,-2.433188,-2.456383,5.418069,-2.233112,3.056168,,0.023852,-3.524377,-2.480071,,-0.899088
2005-03-24,2.368833,0.386875,1.360838,,4.2642,-2.156041,-0.519487,-0.88979,-2.350411,,,-0.169191,-1.221159,,,2.669853,1.050977,,-2.833934,,1.513218,,,,-0.65929,,,,3.279482,,,,,-1.445519,,,0.092649,3.037398,3.230028,0.825035,,,,-0.435609,,-2.661848,-0.963351,5.835574,-1.078072,1.905529,,3.28025,0.979619,-1.19707,,-2.608318
2005-03-28,3.108004,1.994712,1.411957,,3.687239,-1.450646,0.011928,-0.187608,0.361334,,,-2.068356,-0.747515,,,4.821814,-0.935734,,-2.624973,,1.639508,,,,-1.357156,,,,4.954501,,,,,-1.428988,,,1.785338,0.99565,-0.377563,2.706177,,,,0.574872,,-1.764278,2.422675,7.5961,1.652154,3.770237,,2.133219,0.859035,-0.866638,,-0.309475
2005-03-29,4.770617,-1.232547,2.353178,,4.831144,0.21552,1.133782,1.779161,1.247322,,,-2.338991,-0.772661,,,4.077244,0.207944,,-1.702982,,4.371524,,,,2.48453,,,,1.978754,,,,,-0.23062,,,3.203459,3.372099,2.444634,4.382604,,,,2.455103,,-2.136569,5.157264,8.893063,3.619464,4.467487,,3.314015,0.040774,-1.681301,,1.871341
2005-03-30,0.285029,-3.470912,0.348179,,2.469736,-0.434659,-0.003947,1.286826,4.518511,,,-2.913289,-2.046769,,,2.86752,0.269944,,0.47735,,1.526801,,,,2.460385,,,,1.268102,,,,,-1.362881,,,3.738232,0.53975,1.306804,5.881522,,,,4.632303,,1.357769,1.547035,1.888752,5.700217,3.960203,,2.320701,-2.271553,-0.914823,,2.034168
2005-03-31,-0.878019,-3.970877,0.989688,,2.050609,1.235696,-1.836196,3.452826,4.893688,,,-4.527314,-3.089671,,,3.750131,1.126954,,-1.14254,,1.03317,,,,0.355624,,,,-2.376439,,,,,-1.432147,,,3.896816,0.675483,0.258554,1.647453,,,,11.920663,,1.607063,2.386707,2.18786,7.371519,1.256134,,1.2032,-3.887162,-3.037315,,1.553094
